"Node","Cluster","Betweenness","Closeness","PageRank"
"arizona state university","1","50","0.04347826086956522","0.0524296030589942"
"university of toronto","1","20","0.03333333333333333","0.04900420154038596"
"northwestern university","1","0","0.025","0.04866533421888035"
"university of arizona","1","0","0.02941176470588235","0.01766302978047105"
"harvard university","1","0","0.025","0.03761789900079095"
"university of malaya","2","0.6666666666666666","0.2","0.04696779601781417"
"islamic azad university","2","1.333333333333333","0.2","0.05739596225749342"
"university of niš","2","3","0.2","0.06024682392334674"
"university of tehran","2","0","0.1428571428571428","0.03601702295176806"
"university of priština","2","0","0.125","0.01676369919740373"